,index,번호,제목,평점,감상평
1683,4,18138201,브로커,10,"가볍게 보기 좋고, 평이 왜 낮은지 모르겠음.배우들 라인업도 좋았고, 연기력도 좋았고, 스토리도 좋았어요.개연성 이런거 따지지말고 그냥 보다보면 빠져듭니다저는 재밌게 봤어요"
1684,5,18138200,해리가 샐리를 만났을 때,8,대도시 독신남녀들의 연애관을 인간미넘치는 시선으로 묘사.
1685,6,18138199,브로커,10,"어떻게 살아가야되는지 고민이 많은 요즘, 태어나 줘서 고마워 한마디가 참 위로가 되었습니다."
1686,7,18138198,범죄도시2,10,연기 미쳤다...액션씬 찍으면서 얼마나 아팠을까 ㅠ
1687,8,18138197,범죄도시2,6,마동석의 재확인과 강해상의 새로운 연기에 놀라다. 평론가처럼 해석하고 평론가들 처럼 점수 줍니다. 평론가들은 왜? 6이상을 안주니??? 하지만 난 16점이다. ㅋ
1688,0,18138196,그대가 조국,10,꼭 봐야합니다!내가 조국일수 있다는걸~객관적으로 분명하게 확인됩니다~먹먹함이 밀려옵니다~~깨어있어야 한다는걸 다시 다짐합니다~
1689,1,18138195,브로커,10,영화 보고 여운이 남아 몇 자 적습니다. 기존 고레아다 영화 들은 혈육이 아닌 가족의 가치에 초점을 맞추었다면 이 영화는 인간탄생 본연의 가치에 의미를 둔 거라 생각 했습니다. 우성과 소영은 외부 악의 세력에 노출 되어 있지만 상현 동수 해진의 차라는 공간을 통해 보호을 받고 안정을 찾습니다. 세차장에서 나오면서 이 관계는 완성 됩니다. 가족의 의미는 아님. 나오는 모든 출연자는 우성을 통해 본인의 가치를 찾아 가며 그 정점은 관람차가 되는 거라고 보였습니다. 첫 장면의 교회 십자가는 종교적인 의미를 담은 거 같은데 그 부분은 각자 해석하시기 바랍니다. 간만에 좋은 영화 감사합니다.
1690,2,18138194,범털2 : 쩐의 전쟁,1,무슨 이런 똥을 싸질렀대? 감독이 일하기 싫노? 니 무슨 범죄자들 먹방 찍노?
1691,3,18138192,브로커,10,연기력은 물론이고 소소하게 웃긴부분도 많아서 좋았어요
1692,4,18138191,브로커,2,맨날보는 인강이 더 재밌네요.
1693,5,18138190,범죄도시2,10,마블리는 말할 것도 없고 구씨의 연기가 소름이 끼쳤다.
1694,6,18138189,브로커,10,재미만 있구만 치고 박고 화려한걸 바랄거면 그냥 어벤져스같은걸 봐라 ㅋㅋㅋㅋ 왜 수준에 안맞는 영활 보고 별점 테러를 하는지 이해안가네 ㅋㅋㅋㅋ
1695,7,18138188,그대가 조국,10,이 시대의 참극을 그대로 조명한다.
1696,8,18138187,범죄도시2,6,전편이 훨씬 나은데?범죄도시는 청불로 가야 더 잼남 ㅠ
1697,9,18138186,범죄도시2,10,장씨형제가 짱깨들 죽일때 통쾌했다 ㅇㅈ? ㅇ ㅇㅈ
1698,0,18138185,쥬라기 월드: 도미니언,7,메뚜기 월드 ㅇㅇ 인정
1699,1,18138184,뜨거운 안녕,10,감동적인 인간민가 넘치네요?눈물샘 자극?만땅~잼나게 살자~
1700,2,18138183,로스트 시티,10,액션 스릴 최고로 멋진것 같습니다.
1701,3,18138182,브로커,10,잘 보고 갑니다. 눈물난다
1702,4,18138181,봄날,10,상당히 가족에 대한 사랑을 느끼게 되네요
1703,5,18138180,그대가 조국,10,영화를 보면 이 나라가 과연 민주주의 국가인지 의문이 든다. 검찰공화국! 개혁이 왜 필요한지를 뼈저리게 느끼게 된다. 처음부터 끝까지 분노가 솟구친다.
1704,6,18138179,쥬라기 월드: 도미니언,2,공룡보러 온 애기들 메뚜기징그러운거보고 울더라
1705,7,18138178,브로커,1,이해할수가 없다.갑자기 배두나가 애를 키우가 끝나냐
1706,8,18138177,루이스 웨인: 사랑을 그린 고양이 화가,9,간만에 보는 감동적인 영화입니다.
1707,9,18138176,쇼생크 탈출,10,내 인생영화 탈출했을 때의 쾌감이란.. 언제나 희망을 잃지않고 나아가기를
1708,0,18138175,브로커,10,따뜻하고 울림이 있음초반에 연출이 뚝뚝 끊기는 느낌이 있으나 그럼에도 배우들의 연기가 좋고 풍경이 이쁨
1709,1,18138174,브로커,1,캐릭터는 조선시대 소설처럼 지극히 평면적이고 스토리는 개연성이 없으며 연기는 국어책 읽는 듯하다. 한국어영화가 이렇게 졸리기도 쉽지 않다. 언제 끝나나 계속 시계만 보고 있었다. 칸도 맛이 갔구나. 돈과 시간이 남아 돌고 불면증에 시달려서 수면환경을 바꿔보고 싶은 분께만 추천합니다.
1710,2,18138173,그대가 조국,2,쓰레기 인간쓰레기미화.
1711,3,18138172,프리즌,10,프리즌 어제 봤는데 꿀잼
1712,4,18138171,브로커,6,감독의 의도가 뭔지는 알겠다.
1713,5,18138170,범죄도시2,10,킬링타임용으로 보기 좋음 너무 재밌었어요
1714,6,18138169,브로커,1,외국 영화제 상 받았다길래 봤는데 감동도 없고 이건 무슨 영화지?
1715,7,18138168,닥터 스트레인지: 대혼돈의 멀티버스,8,"생각보다 실망했다... 닥스 싸움 퀄리티가 너무 낮아서 놀라울 정도 (1편의 영상미와도 너무 비교되고, 인피니티 워에서의 전투씬과 영화 초반 전투씬은 너무 비교가 됨, 왜 굳이 이렇게 싸우는거지? ) 그리고 호러틱한 부분들이 많아서 생각지도 못하게 놀람.... 이게 공포영화 였던가 ? 첫번째 쿠키영상 아... 실망 두번째 쿠키영상 굳이 필요했나?"
1716,8,18138167,4인용 식탁,10,작중에서 국먹을때 뜨겁다는건 아직 애라는걸 말하고 시원하다는건 어른이 되었다는걸 뜻한다. 마지막장면에서 국먹을때 아직 뜨겁다는건 어른이 되지 못했다는거.. 보면 볼수록 그속에 내포된 의미가 상당하다
1717,9,18138166,비와 당신의 이야기,8,내용은 그냥 그렇구 배경음악들이 좋았네요 전
1718,0,18138165,쥬라기 월드: 도미니언,2,와 수면제 영화다 이건 고질라보다 더 재밌다별 0개 주고 싶네
1719,1,18138164,브로커,1,말도안되는 끼워맞추기에 재미도없고 감동도없다. 심지어 러닝타임은 또 길어서 관객들은 전부다 나가고싶어하고 언제끝나는지만 기다림ㅋㅋ
1720,2,18138162,범죄도시2,10,배우들 액션 유머 재미있어요
1721,3,18138161,브로커,2,말소리도 잘 안들리구 좀 지루한 영화 보다가 나가고 싶음
1722,4,18138160,범죄도시2,10,너 납치된 거야
1723,5,18138159,브로커,2,개연성 없는 연출에 대사 하나하나에 함축적인 의도가 보이긴 하나 추측일뿐 해석이 안될 뿐더러 억지 감동을 만들어내는 장먄이 많고 영화라면 의도파악이나 사회적 풍자를 비판하는 작품이 많은데 이 작품은 도대체 뭘 의도한건지 모르겠다..
1724,6,18138158,비와 당신의 이야기,4,감성적이나 딱 그정도 영화. 다른 명작이라 일컫는 영화보다 부족한게 꽤 많다
1725,7,18138156,브로커,1,영화보다가 중간에 나가는사람들이있을정도였습니다 정말 최악이였어요
1726,8,18138154,알투비:리턴투베이스,2,재목을 빨간마후라2 라고 안지은 것은 신의 한수였어요 우리나라에 몇없는 항공전을 다룬걸작을 부관참시할 뻔 했잖아요 다행이에요
1727,0,18138153,브로커,1,기립박수는 드디어 끝났다 환호의 박수인거 같다.. 뭐 하나 좋은거 하나 없는 최악의 영화.. 왠만하면 그냥 볼만했어 이러는데... 이건.. 뭘 말하고 싶은건지.. 감상포인트가 하나도 없어서 ost 골라봄..
1728,1,18138152,범죄도시2,10,스트레스 해소용으로 딱이에요~ 잔인한 부분이 있어서 놀라긴했지만 보는 내내 꽉꽉 채워서 재미었어요~ 범죄도시3 벌써부터 기대됩니다
1729,2,18138151,범죄도시2,9,코로나 이후로 처음가는 극장에서 보는 영화 호쾌한 액션이 기억에 오래 남고 보고 나왔을때 찝찝하지 않은 영화 아쉬운건 타격소리가 커서 깜짝깜짝 놀란거 정도? 3편도 기대됨
1730,3,18138150,브로커,10,관람차장면이 젤 좋았다
1731,4,18138149,브로커,1,영화관에서 영화볼때 잠안자는데 잤습니다
1732,5,18138147,브로커,2,두번째 만남에서 그녀랑 봤는데 졸려죽을뻔..재미 드럽게 없다.
1733,6,18138146,나랏말싸미,1,이런 역사 왜곡이 해외에 수출되는 참사.. 책임은 누가 지냐
1734,7,18138145,범죄도시2,10,코로나 풀리고 오랜만에 극장 재미 있게 봤습니다
1735,8,18138144,브로커,1,공감이 하나도 안됩니다. 우선 스토리 개연성이 너무 떨어지고 각 인물들이 처한 상황이 묘사가 잘 안돼있어요. 영상미는 좋지만 그런 예쁜장면과 억지감동을 담기 위해 스토리를 끼워맞춘거 같다는 느낌을 받았어요. 엄청난 배우라인업과 빈약한 스토리에 놀랐습니다.
1736,0,18138143,애프터 체르노빌,9,딱 팝콘 무비~ 막판 깜놀
1737,1,18138142,쥬라기 월드: 도미니언,10,난재미있었는뎁ㅋㅋㅋ
1738,2,18138141,범죄도시2,10,오랜만에 시간가는줄 모르고 봤어요 그리고 손석구님은 크게 보니깐 더 좋네요ㅎㅎ
1739,3,18138140,그대가 조국,2,OTT로 풀려야 제대로 평가를 받을수 있어보인다. 어느정도 엔터테이먼트를 기대하고 극장까지 가는 관객에게 이런 영화는 꽤 부담스럽다그래도 저수지게임보다 평론가들이 평을 안한건 의외다
1740,4,18138139,범죄도시2,10,그냥 2시간이 가버림 이것만한 영화가 없음
1741,5,18138138,"나니아 연대기 - 사자, 마녀 그리고 옷장",10,여러번 봐도 정말 재미있는 따뜻하고 뜻 깊은 영화
1742,6,18138137,고스트버스터즈 라이즈,8,햄식이형이 춤추던 것 보다 좀낮네요
1743,7,18138136,쥬라기 월드: 도미니언,2,너무 재미없다 잤다아들이 먼저 자드라
1744,8,18138135,브로커,1,영화관에 앉아있던 시간이 너무 고역이었어서 당분간 영화관은 안가고 싶어졌어요....
1745,9,18138134,브로커,2,너무 작위적이라 눈살 찌푸려지는 영화
1746,0,18138132,쥬라기 월드: 도미니언,8,우연이 너무 겹치긴 하지만 그래도 전편과 자연스럽게 이어져 좋았고 악당의 최후는 좀 아쉽다.
1747,1,18138131,몽타주,9,스토리 짜임새 좋네 왜 안떳지 이 영화?
1748,2,18138130,범죄도시2,10,대부분 두번째 시리즈는 망한다는데 이걸 1000만 영화를 찍어버리네... 범죄도시1의 흥행요소를 전부 잘 살린 꿀잼 영화였음!
1749,3,18138129,그대가 조국,1,"정치가 아니라 종교, 광기"
1750,4,18138128,그대가 조국,1,이런 쓰레기를 영화화 하다니온가족이 입시부정 저지르고도 피해자 코스프레하는 강남좌파의 민낯을 보고도 평점이 9.8? 쪽팔리지도 않냐?
1751,5,18138127,판소리 복서,10,정말 감동적으로 재미있게 봤습니다.아침부터 눈물흘리며 봤네요ㅠ
1752,6,18138126,쥬라기 월드: 도미니언,5,애들영화.요새 서부권영화 메리트가 낮아지고 있음. 스파이더맨부터 어벤져스 서로 과거유명배우들 결합해서 호응얻으려는 수법. 한두번하면 이젠 안본다 스토리도 응망.쥬라기월드 평은 딱 세 마디다.1. 메뚜기2. 과거와 현재 배우의 결합3. 납치생존탈출기끝.
1753,7,18138125,고스트버스터즈,2,추억을 망첬어 잰더감성을 떠나 너무 못만들었어
1754,8,18138124,범죄도시2,10,존잼이에여...
1755,0,18138123,피는 물보다 진하다,10,너무 재미있게 봤어요~~^^
1756,1,18138122,범죄도시2,8,아무생각 없이 볼 수 있는 팝콘무비
1757,2,18138121,브로커,10,영화 볼줄 모르는 분들이 별점낮게 주셨네요 ㅋㅋ역시 찐따들
1758,3,18138120,브로커,4,외국에서 극찬 받은 작품은 한국에서 성공 가능성이 낮다는 걸 다시 보여준 작품이고 영화적으로 유럽의 시선과 한국의 시선의 갭이 크다는것도 느낀 작품
1759,4,18138119,브로커,8,"개인적으로 결말은 아쉬웠어요, 중간중간 내용이 지루하다는 느낌도 조금 들긴 했는데 그래도 전 나쁘지 않았어요. 딱 보고나서는 처음 보는 류의 영화라 아리송했는데 보고 나서 곱씹고 곱씹다보니 괜찮은 영화였던 것 같아요!"
1760,5,18138118,브로커,9,여러 생각을 하게 되는 영화
1761,6,18138117,브로커,8,갈등의 골이 깊어야만 좋은 영화가 되는건 아니다.평양냉면 같이 슴슴하지만 뒷 맛이 계속 생각나는 영화
1762,7,18138116,브로커,5,"참 아쉽다. 감독이 이미 전작들에서 메시지를 반복중이라는 생각을 지울수가 없다. 대사도 집중해야 되는데 중요한 장면중에 대사가 안들리는 장면도 있고, 감독의 전작을 보는게 여러모로 더 낫다"
1763,8,18138115,브로커,5,칸 영화제에서 상을 탔다고 해서 봤다. 실망이다. 흥행도 실패할 것 같다
1764,9,18138114,브로커,7,악평보다 무난하고 재밌게봄
1765,0,18138113,범죄도시2,6,지나치게 폭력적. 눈을 뜰수 없음 ㅠㅠ
1766,1,18138112,브로커,5,스타배우들 다 모임는데 영~ 별로라 불행사람들 뻔한 스토리 재없어 아이유 댐에 가는데 실망 했어요
1767,2,18138111,브로커,10,잔잔하지만 따뜻한 영화
1768,3,18138110,인터셉터,1,무슨 미친 소리야 이게? 핵미사일 막을 수 있는 기지인데 달랑 2곳에 담당자가 상병 둘이라고!!??? 괘한이 침입했는데 대응이 90분이라고!??? 미국의 멸망을 막을 사람이 3명이라고!!??? 러시아 잠수함 저기서 대기타고 있는 거 자체가 발사 유무 상관없이 세계 3차 대전 사유 아니냐!!??? 뭔 개소리야!!??
1769,4,18138109,그대가 조국,1,"하는 말도 거짓말, 영화도 거짓말, 평점도 거짓말, 그냥 인생 자체가 거짓말인 조국"
1770,5,18138108,쥬라기 월드: 도미니언,5,너무 긴 러닝타임. 조잡해보이는 공룡들. 뻔한 스토리 전개. 쥬라기 공원의 인물과 월드의 인물들이 적절히 섞이고 그시절의 음악은 나쁘지 않았음.
1771,6,18138107,브로커,2,60년대 신파극 보는줄 알았음 배우진들이 아깝네요 끝날때까지 넘 지루해서 몸이 뒤틀리는 기분 오랜만에 느끼고왔네요
1772,7,18138106,브로커,9,"평이 안좋아서 안볼까싶었는데, 보길 잘한 것 같아요. 잔잔하고 감동적이었어요~ 평이 왜케 안좋은지 모르겠네요... 속상해서 댓글남겨요ㅜㅜ"
1773,8,18138105,범죄도시2,10,"자격증 공부하던 와중에 스트레스 풀려고 재밌게 봤었는데, 더 보려던 생각하고 있던 와중에 부산 무대인사 소식 떠서 고민하다가 다시 보러갔습니다!! 2번 봤지만 재밌게 봤구요! 무대인사도 오셔서 맨뒷자리였지만, 보고 행복했습니다^^ 마지막으로 1,000만 찍으신거 축하드립니다!!!!(영상 찍느라 어플로 축하인사 썼는데, 못 켰어요ㅠㅠ)"
1774,9,18138104,인터셉터,1,ㅋㅋㅋ 마지막 러시아 잠수함 함장이 여주에게 경의를 표하고 사라지는 엄청난 존경을 표하고 사라질때내가 몸둘바를 모르겠더라....중국전쟁영화 저리가라야 아주 지린다
1775,0,18138103,인터셉터,1,ㅋㅋㅋ 마지막 러시아 잠수함 함장이 여주에게 경의를 표하고 사라지는 엄청난 존경을 표하고 사라질때내가 몸둘바를 모르겠더라....중국전쟁영화 저리가라야 아주 지린다
1776,1,18138101,범죄도시2,10,언2년 오랜만에 극장가서 빵빵 웃으며 본영화네요 재미 그리고 연기력 남은 범죄도시들이 기대되는 그런영화
1777,2,18138100,브로커,1,너무 재미 없습니다.영화상영 1시간10분쯤 부터 시계만 열번 넘게 본 것 같습니다.- 감독이 일본사람이라 그런지 소소하게 일본 풍이 느껴지는 건 정말 별로 였습니다.
1778,3,18138099,브로커,1,내가 뭘 본거지 돈 내고 보기 정말 아까움
1779,4,18138098,그대가 조국,2,ㅋㅋㅋㅋ 최순실이 불쌍해 보이긴 또 처음이네
1780,5,18138097,브로커,1,고레에다 히로카즈 작품들 중 좋게 본 작품이 몇 개 있어서 약간 기대를 했는데… 너무 실망스러웠던 작품. 개연성이 너무 떨어지고 캐릭터들이 붕 떠있는 느낌? 대체 뭘 말하고 싶은 건지 알 수 없고 알고싶지도 않은 영화
1781,6,18138096,서울괴담,2,도대체 어디서 무서워해야 되는거임? 중간에보다끔
1782,7,18138094,브로커,2,정말 지루한 영화 . . ..
1783,0,18138093,브로커,10,초반엔 잔잔 나중엔 감동
1784,1,18138092,브로커,4,"긴말 필요없고 앞에 앉은 두분, 옆줄에 앉은 한분은 상영중 나가시고 뒤쪽에 앉은 두어분은 영화내내 들락날락 하더이다."
1785,2,18138091,그대가 조국,1,가나다라마바사
1786,3,18138088,브로커,1,간만에 영화보다 잠들었어요
1787,4,18138087,브로커,10,감독이 전달하고 싶은 메세지가 2가지가 있네...
1788,5,18138086,인턴,10,꼰대와 어른의 한끗차이~
1789,6,18138085,브로커,8,일본식 시적 표현을 한국영화에 적용하기에는 아직 다소 어색함이 있다.
1790,7,18138084,천공의 성 라퓨타,10,"꿈을 잃고 방황할 때, 어린 시절의 소중한 기억을 되살려주는 따뜻하고 뭉클하고 아련한 명작."
1791,8,18138082,그대가 조국,10,좀더 많은 사람이 진실을 알아야합니다보는 내내 답답하고 먹먹해지네요~
1792,0,18138083,그대가 조국,10,좀더 많은 사람이 진실을 알아야합니다보는 내내 답답하고 먹먹해지네요~
1793,1,18138081,쥬라기 월드: 도미니언,10,재미있었어요 쥬라기 공원 오마쥬도 좋았고
1794,2,18138080,명탐정 피카츄,10,피카츄가너무귀엽고추리하는모습까지
1795,3,18138079,범죄도시2,10,시간이 금방 지나가 버렸다.정말 오랜만에 내가 보고 싶어한 영화를 봤다고 생각한다.
1796,4,18138078,브로커,8,"어느 한 씬 튀지 않았고, 생각하며 보게 되는 잔잔한 영화였어요."
1797,5,18138077,그대가 조국,8,우리 사회의 숨은 광기를 보았다. 검찰쿠데타의 서막 그리고 편향된 언론의 하이에나 습성. 참 더러운 정치 생태계. 죽어가는 동물에 대한 들쥐들의 행태. 한국 사회의 절대 강자가 누군지 적나라하게 보여주는 다큐. 역사적 사료로서도 가치가 있음.
1798,6,18138076,연애 빠진 로맨스,10,슬픈내용이 없음에도 눈물이 나고코미디 장면이 없음에도 웃음이 난다.이 영화 진짜 최고다.
1799,7,18138075,범죄도시2,10,살면서 5번 본 영화 처음. 근데 5번 봐도 재밌음.
1800,8,18138074,범죄도시2,10,확실한 권선징악^^!
1801,9,18138073,브로커,2,뭘 전하고자하는지도 모르겠고 그냥 너무 지루했어요 웬만하면 영화는 다 재밌게보는데 이건 도저히..ㅋ 그냥 강동원 얼굴과 만삼천원 퉁치겠습니다
1802,0,18138072,쥬라기 월드: 도미니언,8,시리즈 마무리하기에는 조금 부족하다는 느낌도 있지만 옛추억을 되살려서 좋았습니다!
1803,1,18138071,브로커,2,이딴게...칸영화제라고..?
1804,2,18138070,아수라,10,"평점도 밭갈이 당했냐?곽검사 빌때 후덜덜함. 곽씨 검사, 은씨실장이 우리나라에 몇명이나 될까?"
1805,3,18138069,범죄도시2,10,살면서 영화리뷰 처음 남겨볼 정도로 재밌습니다 모두가 봤으면 좋겠움..
1806,4,18138068,범죄도시2,10,손석구사랑해요 재미나게 봤어요
1807,5,18138066,브로커,1,돈아까운영화 . 끝났는데도 모든간객이어의가 없어서 움직이지 못했다
1808,6,18138065,브로커,1,대체 뭘전달하려는지 모르겠는..잔잔한걸떠나서 스토리도 애매하고 억지도있는것같고 결말은.여기서 끝난다고? 싶은. .이게 상받을정도인가싶다. 개별로
1809,7,18138064,브로커,7,잔잔한 파도 치는 모래사장에 누워 머리끝을 살짝 적시는 영화
1810,8,18138063,범죄도시2,10,오랫만에 보는 시간 가는줄 모르는 영화
1811,0,18138062,브로커,5,정말 재미있었다.
1812,1,18138061,기적,10,아름다윤시골배경에 탄탄한스토리 감동을 주는 영화였어요
1813,2,18138060,브로커,1,보통의 관객이라면 지루함만 느낄만한 영화. 의도한 바는 알겠으나 개연성이 부족하고 이미 영화가 싫어진 관객들에겐 어떤 주제도 와닿지 않는다.
1814,3,18138059,브로커,2,감독 및 배우 인지도가 전부인 영화~
1815,4,18138058,범죄도시2,2,속편은 재미없다는 말은 진리임
1816,5,18138057,그대가 조국,10,공정과 상식
1817,6,18138056,봉쇄수도원 카르투시오,10,마음이 따뜻해집니다. 모두가 행복하고 온 세상 이 평화로웠으면 좋겠어요.
1818,7,18138055,브로커,7,유명 배우들 보는 맛이 있어요
1819,8,18138054,브로커,2,"뻔한 스토리에 이 영화 저 영화 짜깁기한 듯한 식상한 각본과 연출 , 출연진 모두의 시간 나서 억지로 아르바이트로 하는 듯한 무성의한 연기, 한마디로 시간이 아까운 요즘 보기드문 영화"
1820,9,18138053,죠스,6,지금 보는 입장에선 평작.. 1975년도에 만들어졌다는 사실은 경이롭다
1821,0,18138050,범죄도시2,10,진짜 웃기고 마동석 애드리브? 찰지고 손석구 연기 쩌러요 .. 극장에서 봤는데 플랫폼에 뜨면 또 볼거에용
1822,1,18138049,흐르는 강물처럼,10,우리 부모님들의 시대를 풍미했던 영화. 높은 영상미와 서사의 흐름이 아름다웠습니다.
1823,2,18138048,브로커,2,"좋은점은 못 회수된 떡밥없이 깔끔해요!아쉬운점은 2,3화 짜리 단편 웹툰을 늘여둔 느낌이라 시간에 비해 내용이 없어서 지루해요!"
1824,3,18138047,그대가 조국,10,"검찰의 민낯, 그 수준 낮으며 숨기지 않는 폭력적인 권력사용이 조국에게만일까?!생각하게 하는 영화, 담백하고 담담하게 너무나 차갑게 보여주지만,보는 내내 목젖이 찢어 질 것 같았다.우리나라 기소 90% 이상이라는 점을 보면 알 수 있다. ‘유죄추정의 법칙’으로 일한다더니…그보다 훨씬 더 심각 했다. 뭐든 찾아 괴롭히고 망가뜨리자는 의지로 물어뜯는 개처럼 사모펀드로 시작한 일이 지방 무명대학의 표창장 위조로 끝났다!인간으로 하여금 법을 적용하는 직업을 가진 자들로서 그 무겁고 신중하게 적용 되어야 하고, 함부로 휘둘러서는 안되는 힘을 인간으로서 가져야 할 양심과 공감을 잊고, 소위 공무원인 자들이 한 가족을 난도질 하는 과정을 보며, 그에 동조한 판사 임정엽도 떠올랐다.권력욕에 취한 자들이 양심있는 한 학자의 가족을 볼모로 난도질 하며, 공정하지도 상식적이지도 않은 자들이 그 것을 내세우며 결국 정권을 잡은 이런 추하고 저급하고 촌스럽기 짝이 없는 과정을 본 불편함을 이영화 내내 마주하게 되는 영화다. 답을 정한 검찰이 수사권을 가지고 기소권을 남용하는 검찰을 개혁해야 하는 이유를 알게 해주는 영화다.판사들 중에도 답을 정해 준 검찰의 방향대로 전지전능감에 빠져 판결을 공모하듯 내리는 것도 문제다.브라질처럼 망가 질 수도 있다는 불안감에 착잡했다.브라질 검사 판사가 정권을 잡은 후 지금의 브라질이 됬다는 걸 보면,우리나라의 지금 시정과 대비해 보면 무서운 생각이 든다. 검찰의 개처럼 언론 또한 피에 취한듯 모욕주며 물어 뜯어대면…그것이 누구든 속수무책으로 그 국가와 언론 폭력에 당하게 되고, 큰 트라우마로 남든 목숨을 버리든 하게 되는 것에 분노 그 이상의 분노를 느끼게 된다. 검사들이 저지른 수많은 간접살인들과 한명숙 총리 뇌물조작사건,유시민을 향한 검사와 기자가 정당의 기획고발사주..검찰이 앞장서서 특정정당과 야합하고 정적들을 모함하고 앞으로 대권을 잡을 만한 사람을 끌어내려왔던 것 같다. 이재명의 악마화도 그렇게 시작되는듯 보인다."
1825,4,18138045,스내치,8,초반부에 난잡한 연출로 스토리가 이해 안될 수 있으나 중반부터 모든 이야기가 하나로 묶어지면서 감독이 왜 천재소리 듣는지 알겠네요. 나름 재밌는 영화
1826,5,18138044,브로커,10,태어나줘서 고마워 세상 그어떤이도 소중하지 않는 생명은없다.
1827,6,18138042,그대가 조국,1,이딴걸 개봉한다는것도 놀라운데 댓글 수준이… 차라리 그것이 알고싶다를 보는게… 확실히 문화에 정치가 들어가면 그 수준은 제대로 퇴보될 수 밖에… 어떤 쓰레기에도 내 편엔 너그러운 편협한 성향에 참~
1828,7,18138041,그대가 조국,10,감동입니다역시 감동입니다
1829,0,18138040,브로커,4,스토리자체는 생명존중이라는 좋은 교훈을 주는 영화였지만 기대이하의 지루한 영화였음. 남우주연상을 받을 만큼의 연기력이었는지를 의심했던 영화.
1830,1,18138038,1987,10,진짜 최고의 영화...
1831,2,18138037,카오스 워킹,4,출연진과 감독을 생각하면 완성된 영화는 정말 실망스럽다고 할까 3부작이라고 하던데 나머지는 왠지 못 나올거 같다
1832,3,18138036,쥬라기 월드: 도미니언,6,공룡나올때만 재밌구ㅜㅜ 왜케 늘어지는지…그래도 새로운 시리즈 기다리게되는 쥬라기
1833,4,18138035,브로커,4,배우들 빼고는 그냥 우리나라 독립영화 보는 느낌. 물론 배우들 연기는 좋지만 국내 영화제에서도 수상하기 힘들 것 같은 평범한 영화인데 칸이 송강호에게 부채의식이 있었나보다.
1834,5,18138034,오아시스,10,둘만 아는 세상둘만 아는 세상
1835,6,18138033,브로커,6,눈은 호강하는 가족
1836,7,18138032,브로커,10,"배우들이 연기를 너무 잘했고, 많은것을 남기게 해준 작품입니다."
1837,8,18138031,언피니시드,9,"'언피니시드'의 제시카 차스테인, '봄날의 간다'의 이영애. 그리고, 내 젊은 시절 그녀의 기억은 왜 다 같은 모습의 흔적을 남기는지. 그 순간 '나'들이 조금 더 나를 내보였다면... 지금은 달랐을지도."
1838,0,18138030,범죄도시2,10,1편 넘 재미있게 보고 장첸이 넘 강렬했어서 1편을 뛰어넘지 못하겠지 하며 기대없이 봤는데 1편 버금갈정도로 재미있게 봄. 손석구만의 또 다른 결의 악당 연기 인상깊었다
1839,1,18138029,쥬라기 월드: 도미니언,10,평점 낮은 이유를 모르겠어요..정말 재미 있는데...
1840,2,18138028,브로커,9,"""태어나 줘서 고마워""가족은 태어나야 만들어지는 거다."
1841,3,18138027,범죄도시2,8,웅장하다 그의....
1842,4,18138026,23 아이덴티티,8,금붕어녀 너무 귀엽다.
1843,5,18138025,브로커,1,불면증이 있어서 심야에 보러갔는데 꿀잠 잠
1844,6,18138024,브로커,2,돈 아깝다시간은 더 아깝다
1845,7,18138023,그대가 조국,1,기가찬다 정말로...
1846,8,18138022,피는 물보다 진하다,1,왠만하면 그냥 보는데….시간이 정말 아까운 영화 내용도 없고 몰입감 전혀없고 특히 이완연기 대박못함
1847,9,18138021,브로커,1,이런것도 영화라고 참나이건 장르가 모여? 성냥팔이 어쩌고 그영화 나 안봤는데 그것보다 더 망삘같으네 기가막힌다
1848,0,18138020,불한당: 나쁜 놈들의 세상,10,왜 이제 봤을까.. 하는
1849,1,18138019,이공삼칠,10,브로커 보다 훨씬 낫고 훨씬 재밌어요이런 감동적인 스토리는 언제나 재밌는 듯ㅠㅠ김지영 배우님 진짜 연기 미치신 듯!!모든 배우님들도 다 잘하고 멋져요!!!
1850,2,18138018,브로커,10,"이 영화를 보고 싶어하는 딸과 함께 , 반면에 전 아무런 기대없이 봤는데 좋았습니다.지루하지 않았고 재미와 감동이 있었어요. 감독님의 다른 작품을 보진 않았지만, 분위기가 비슷하겠구나 싶어요. 제가 좋아하는 류의 영화를 만났어요. 감독님에게도 입덕합니다."
1851,3,18138017,듄,5,"영상미는 좋으나, 세계 최고의 SF 명작이라고 칭해지는만큼 기대했던 세계관이나 서사적 배경에 대한 설명이 지나치게 부족함. 스파이스가 뭐며 모래벌레는 왜 안 죽이며, 환각제라는 스파이스를 가지고 뭐 어떻게 성간여행을 하길래 그게 그렇게 중요한거며, 왜 총기류를 사용하지 않고 냉병기 근접 전투를 하며 등등...필요한데 빠진 설명이 많다보니 극이 전개될 때마다 여기서 왜 저러는거지?하는 의문을 계속 품고 감상하게 됨. 전개를 이해할 수 없는데 영상에 몰입하기가 힘들었음. 애초에 킬링타임용 영화를 기대하고 갔다면 굉장히 만족했을지 모르겠으나, 원작 소설의 명성을 듣고서 그 원작이 가진 매력적인 세계관과 방대한 서사, 가슴뛰는 스토리 같은 것을 기대하고 갔기에 실망이 매우 컸음."
1852,4,18138015,이공삼칠,1,제발그만하세요부탁드립니다
